index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3
130,a_38,HVF,482547,486941,DVF,HVF,HPR,486942,487784,488036,487783,488035,592383
131,a_38,HVF,592384,600572,DVF,HVF,HPR,600573,601414,601888,601413,601887,630402
132,a_38,HVF,630403,637371,DVF,HVF,HPE,637372,638214,638298,638213,638297,640132
133,a_38,HVF,640133,645673,DVF,HVF,HPR,645674,646499,646641,646498,646640,654094
134,a_38,HVF,654095,659878,DVF,HVF,HPR,659879,660719,661195,660718,661194,680134
135,a_38,HVF,680135,696202,DVF,HVF,HPR,696203,697044,697082,697043,697081,707911
136,a_38,HVF,837674,845367,DVF,HVF,HVT,845368,846209,847351,846208,847350,855573
137,a_38,HVT,847351,855573,DVT,HVT,HPE,855574,856414,857204,856413,857203,863593
138,a_38,HVF,863594,868604,DVF,HVF,HVT,868605,869444,869894,869443,869893,875717
139,a_38,HVF,982314,995596,DVF,HVF,HVT,995597,996439,996817,996438,996816,1001987
140,a_38,HVF,1026601,1033894,DVF,HVF,HPE,1033895,1034738,1034994,1034737,1034993,1045892
141,a_39,HVF,98145,103353,DVF,HVF,HPE,103354,104196,104797,104195,104796,109581
142,a_39,HPE,110421,115504,DPE,HPE,HVF,115505,116331,116749,116330,116748,120759
143,a_39,HVF,217192,224696,DVF,HVF,HAS,224697,225521,225934,225520,225933,228689
144,a_39,HAS,225934,228689,DAS,HAS,HPE,228690,229531,230115,229530,230114,236316
145,a_39,HVF,332925,340220,DVF,HVF,HAS,340221,341061,341297,341060,341296,345113
146,a_39,HAS,341297,345113,DAS,HAS,HVF,345114,345956,345987,345955,345986,348936
147,a_39,HVF,345987,348931,DVF,HVF,HAS,348932,349761,349917,349760,349916,352582
148,a_39,HVF,441253,448652,DVF,HVF,HAS,448653,449481,449588,449480,449587,451841
149,a_39,HVF,455021,459077,DVF,HVF,HAS,459078,459921,460296,459920,460295,461645
150,a_39,HVF,937873,938252,DVF,HVF,HPE,938253,939096,939483,939095,939482,940904
151,a_39,HVF,1127392,1131693,DVF,HVF,HPE,1131694,1132536,1132876,1132535,1132875,1134072
152,a_41,HVF,150309,157871,DVF,HVF,HAS,157872,158712,159549,158711,159548,161660
153,a_41,HVF,205897,211525,DVF,HVF,HPE,211526,212367,212715,212366,212714,220494
154,a_41,HVF,312273,317398,DVF,HVF,HPR,317399,318242,318998,318241,318997,337867
